id,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,defects
1,11,5,2,8,20,6,0.25,10,4,0.67,29,1,0.0,22,7,37.84,13.83,7233.63,0.17,102,0.07,401.87,523.19,0.17,5,10,25,0.11,53,49,23,12,57,31.25,24,False
2,9,3,0,1,16,5,0.56,6,3,0.6,17,4,0.0,9,1,12.5,13.0,2112.7,0.05,37,0.08,117.37,162.52,0.8,5,8,14,0.36,13,24,7,14,14,10.0,9,False
3,5,1,1,1,6,3,0.17,2,2,0.67,8,3,1.0,17,1,15.99,12.44,2476.9,0.07,44,0.08,137.61,199.04,1.0,2,3,7,0.13,16,28,9,14,23,10.53,18,False
4,5,1,0,0,8,3,0.3,4,2,0.67,11,1,0.0,10,0,21.06,5.85,720.66,0.04,29,0.17,40.04,123.19,0.33,2,4,10,0.19,13,16,10,9,16,0.0,10,False
5,5,1,3,0,0,3,0.15,0,1,0.33,11,1,0.0,17,2,21.09,13.0,3563.68,0.09,72,0.08,197.98,274.13,0.33,0,0,10,0.11,26,46,7,7,28,15.0,20,False
6,11,5,0,0,20,6,0.46,10,5,0.83,26,1,0.0,13,0,27.56,14.4,5715.21,0.13,89,0.07,317.51,396.89,0.17,5,10,22,0.25,24,65,10,12,24,0.0,13,False
7,1,0,0,0,0,1,0.33,0,1,1.0,1,1,0.0,3,0,8.98,2.5,56.15,0.01,8,0.4,3.12,22.46,1.0,0,0,2,0.14,2,6,2,5,7,0.0,3,False
8,5,0,0,0,0,3,0.33,0,1,0.33,9,1,0.0,9,1,12.72,10.31,1352.83,0.04,29,0.1,75.16,131.18,0.33,0,0,8,0.23,11,18,8,15,13,0.0,9,False
9,21,1,18,43,38,11,0.16,18,3,0.27,42,1,0.0,51,0,15.89,87.82,122506.36,0.47,279,0.01,6805.91,1395.0,0.09,10,19,33,0.07,92,187,11,21,150,54.46,69,True
10,9,3,0,0,0,5,0.28,0,5,1.0,24,1,0.0,18,0,31.67,17.05,9208.55,0.18,109,0.06,511.59,540.01,0.2,0,0,21,0.24,54,55,19,12,21,0.0,18,False
